Fecha,Field,NDVI,GNDVI,NDWI,SAVI
2025-01-02,parcel001,0.8023771986029662,0.7290845044258245,-0.7290845044258245,1.203388729952446
2025-01-12,parcel001,0.8536389015135457,0.7812992826330464,-0.7812992826330464,1.2803010664211212
2025-01-13,parcel002,0.7014541081504742,0.657667122323145,-0.657667122323145,1.0520381134997727
2025-01-13,parcerl003,0.7033345869124199,0.69298859879048,-0.69298859879048,1.0547534001569678
2025-01-13,parcerl003,0.7030421851583643,0.6922321833846936,-0.6922321833846936,1.0543191717008045
2025-01-15,parcel002,0.6677064255472044,0.6322119224693469,-0.6322119224693469,1.0014313727441415
2025-01-15,parcerl003,0.6720531693723201,0.6502255226546115,-0.6502255226546115,1.0078721059902287
2025-01-15,parcerl003,0.67853067268811,0.658899483350312,-0.658899483350312,1.0175890793341995
2025-01-18,parcel002,0.6512084788795867,0.6242516581596093,-0.6242516581596093,0.9766820699446753
2025-01-18,parcerl003,0.665012620513558,0.6504398748473309,-0.6504398748473309,0.997286260512247
2025-01-18,parcerl003,0.6646051047417978,0.649579892564933,-0.649579892564933,0.9966790068462574
2025-01-22,parcel001,0.8661238756459675,0.8006090389142692,-0.8006090389142692,1.2990321894528547
2025-01-27,parcel001,0.8670632597616972,0.8057467515191913,-0.8057467515191913,1.3004397029020258
2025-01-30,parcel002,0.6787315095704963,0.6224283963940328,-0.6224283963940328,1.0179637506784076
2025-01-30,parcerl003,0.6776114866770125,0.6491528496166292,-0.6491528496166292,1.016194957622111
2025-01-30,parcerl003,0.6776302334443514,0.6493641865162173,-0.6493641865162173,1.0162264036716049
2025-02-01,parcel001,0.8645497416341709,0.8089207310559153,-0.8089207310559153,1.2966733139059
2025-02-04,parcerl003,0.652007058775279,0.6188540545983693,-0.6188540545983693,0.9778080250392052
2025-02-04,parcerl003,0.671198521467086,0.6432109961413983,-0.6432109961413983,1.006589754860726
2025-02-06,parcel001,0.8555545547433532,0.8060213731508763,-0.8060213731508763,1.283178660524689
2025-02-11,parcel001,0.8436846995456969,0.78999473888235,-0.78999473888235,1.265378068763991
2025-02-12,parcerl003,0.2570447983220511,0.2220848894649068,-0.2220848894649068,0.3854999013695374
2025-02-12,parcerl003,0.25589219638993715,0.22168861183635055,-0.22168861183635055,0.38377275140110884
2025-02-16,parcel001,0.8485893444072029,0.7972652822492108,-0.7972652822492108,1.2727284438604163
2025-02-21,parcel001,0.8334486294999174,0.781254664844738,-0.781254664844738,1.2500145394409938
2025-02-26,parcel001,0.8315201791907351,0.7837364361652098,-0.7837364361652098,1.2471217633892637
2025-02-27,parcerl003,0.6316179151159842,0.5858589655338021,-0.5858589655338021,0.9471393169121008
2025-03-08,parcel001,0.8379383310188138,0.7886335708003128,-0.7886335708003128,1.2567425946513024
2025-03-14,parcel002,0.6360709782498918,0.6024150585470898,-0.6024150585470898,0.9539728569384698
2025-03-18,parcel001,0.716551703282301,0.7110645136300057,-0.7110645136300057,1.0746885554322823
2025-03-20,parcel001,0.7000070454229207,0.6978072193585512,-0.6978072193585512,1.04987003599026
2025-03-23,parcel001,0.6685314165020486,0.6745745040255112,-0.6745745040255112,1.002666480532919
2025-03-24,parcel002,0.599814834028561,0.5882443489736908,-0.5882443489736908,0.8996051662803735
2025-03-24,parcerl003,0.6311157346078758,0.5988895582069934,-0.5988895582069934,0.94649498343261
2025-03-24,parcerl003,0.6303205988527926,0.5980620053651703,-0.5980620053651703,0.945304026710958
2025-03-26,parcel002,0.5698052596943409,0.5724015444656784,-0.5724015444656784,0.854598928234213
2025-03-26,parcerl003,0.46310710995093235,0.4185432915138473,-0.4185432915138473,0.69432846955076
2025-03-26,parcerl003,0.4623690501045154,0.4178575931846761,-0.4178575931846761,0.6932259189686893
2025-03-26,parcel002,0.5790774350502551,0.5859942961244994,-0.5859942961244994,0.8684976302562719
2025-03-26,parcerl003,0.610292036618205,0.5537942573739967,-0.5537942573739967,0.9149053739258325
2025-03-26,parcerl003,0.6129693722939697,0.557685156158051,-0.557685156158051,0.9189140605661752
2025-03-29,parcerl003,0.6546891388754535,0.625055884744363,-0.625055884744363,0.9818298572791602
2025-03-29,parcerl003,0.6542099215451095,0.624057833248214,-0.624057833248214,0.9811128310258934
2025-03-29,parcel002,0.5688708401503249,0.5822832167380647,-0.5822832167380647,0.8531971664181168
2025-03-31,parcel002,0.5595281004403837,0.5695526888614137,-0.5695526888614137,0.8391971881903655
